18:19:32:051 [ALWAYS]	GUDE Logging Started
18:19:32:051 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:19:32:051 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:19:32:051 [ERROR]	Initialize resume cache pointer failure
18:19:32:051 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
18:19:32:051 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
18:19:33:949 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
18:19:33:949 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:19:33:949 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:19:33:949 [ERROR]	Initialize resume cache pointer failure
18:19:33:950 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
18:19:33:950 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
